"何も食べたくない",病気
"ごめん、もらしたかも",トイレ
"うんこちびった",トイレ
"便秘なう",トイレ
"飢え死にしそう・・・",病気
"耳が痛いんだけど",病気
"なにか食べるものは？",エサ
"?おなかがすいた",エサ
"マグロが食べたい",エサ
"缶詰ちょうだい",エサ
"カリカリ食べたい",エサ
"腹へった",エサ
"おやつまだ？",エサ
"カツオブシちょうだい",エサ
"かつおが食べたい",エサ
"チャオチュールちょうだい",エサ
"ごはんまだですか？",エサ
"ごはんまだ？",エサ
"エサの時間じゃない？",エサ
"お刺身食べたいなー",エサ
"ごはんはまだかの？",エサ
"のどかわいた",水
"水ないよ",水
"水ちょうだい",水
"牛乳ちょうだい",水
"ミルクのみたい",水
"水減ってる",水
"飲み物ちょうだい",水
"飲み物は？",水
"喉つまった",水
"水古くない？",水
"ウォｰタープリーズ",水
"水ニャいよ",水
"ウンコなう",トイレ
"トイレなう",トイレ
"砂減ってる",トイレ
"砂こぼした",トイレ
"砂少ない",トイレ
"ウンコもらした",トイレ
"ウンコはみだした",トイレ
"砂足りないよ",トイレ
"砂追加して",トイレ
"もれそうかも",トイレ
"ウンコビチビチや",トイレ
"おなか痛い",病気
"血尿出た",病気
"ウンコ出ない",病気
"気持ち悪い",病気
"ゲロなう",病気
"ゲロ吐いちゃった",病気
"目がかゆい",病気
"耳がかゆい",病気
"歯が痛い",病気
"しっぽが痛い",病気
"もう無理",病気
"もうダメぽ",病気
"おしっこつまった",病気
"心臓止まりそう",病気
"たぶん盲腸",病気
"目が取れそう",病気
